accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.009,-0.345,0.947,2.280,-0.129,8.445,28.132
0.005,-0.346,0.948,2.798,-0.329,10.082,28.128
-0.008,-0.353,0.953,3.141,-0.396,11.523,28.130
-0.047,-0.367,0.968,3.237,0.115,11.425,28.142
-0.126,-0.395,0.997,2.500,1.338,7.176,28.148
-0.290,-0.459,1.055,-0.239,5.748,-6.920,28.148
-0.571,-0.533,1.089,-5.744,10.601,-39.556,28.146
-0.902,-0.560,1.082,-13.766,6.409,-92.198,28.152
-1.035,-0.491,1.044,-24.111,-16.941,-131.679,28.155
-0.880,-0.362,1.026,-38.530,-35.924,-161.290,28.156
-0.492,-0.235,1.022,-57.527,-26.840,-183.498,28.164
-0.040,-0.171,0.993,-70.264,-17.015,-200.154,28.162
0.358,-0.126,0.935,-73.186,-22.601,-212.646,28.158
0.627,-0.062,0.885,-67.955,-27.943,-194.164,28.152
0.730,-0.026,0.850,-56.817,-27.431,-156.024,28.149
0.727,-0.010,0.812,-45.441,-23.478,-112.606,28.145
0.691,-0.009,0.799,-36.539,-16.833,-71.355,28.150
0.645,-0.026,0.803,-26.328,-11.782,-37.241,28.142
0.594,-0.043,0.817,-16.467,-9.840,-9.935,28.143
0.547,-0.064,0.829,-9.274,-7.399,14.011,28.147
0.522,-0.092,0.832,-4.421,-3.916,36.439,28.143
0.516,-0.124,0.829,-0.522,-0.074,58.929,28.139
0.516,-0.155,0.825,3.318,4.296,82.926,28.137
0.508,-0.182,0.818,7.802,8.626,109.225,28.142
0.484,-0.203,0.811,13.806,12.237,136.793,28.147
0.443,-0.215,0.807,21.133,15.002,164.659,28.152
0.380,-0.224,0.812,28.254,18.007,186.027,28.147
0.291,-0.233,0.833,34.229,23.322,202.053,28.147
0.177,-0.255,0.872,37.324,33.045,214.072,28.142
0.036,-0.297,0.933,37.505,45.017,222.676,28.147
-0.122,-0.345,0.973,35.163,51.156,218.297,28.144
-0.263,-0.395,0.990,30.284,48.348,201.708,28.143
-0.353,-0.436,0.994,24.977,38.883,174.346,28.136
-0.389,-0.463,0.987,20.633,26.555,140.950,28.128
-0.373,-0.474,0.977,17.567,15.313,108.602,28.123
-0.325,-0.477,0.972,15.541,7.371,82.745,28.135
-0.270,-0.475,0.972,14.156,2.898,64.586,28.135
-0.220,-0.470,0.970,13.163,-0.036,52.977,28.146
-0.181,-0.461,0.966,12.468,-3.119,46.447,28.145
-0.154,-0.450,0.962,12.286,-6.664,43.503,28.151
-0.139,-0.438,0.962,12.634,-9.387,42.971,28.160
-0.140,-0.430,0.969,13.231,-9.853,43.366,28.167
-0.156,-0.426,0.981,13.496,-8.592,42.223,28.180
-0.176,-0.420,0.989,13.000,-7.681,38.087,28.170
-0.188,-0.412,0.993,11.727,-7.135,31.096,28.167
-0.183,-0.403,0.995,10.082,-6.527,22.868,28.166
-0.160,-0.390,0.998,8.412,-5.467,15.662,28.175
-0.130,-0.377,1.000,7.065,-4.173,10.823,28.176
-0.103,-0.364,0.999,6.089,-3.229,8.564,28.185
-0.082,-0.357,0.996,5.376,-2.338,8.392,28.180
