picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
0.142,-0.382,0.947,-3.469,1.541,-1.081,30.880
0.140,-0.379,0.944,-3.708,1.591,-1.395,30.879
0.141,-0.378,0.939,-3.839,1.601,-1.634,30.868
0.142,-0.376,0.935,-3.818,1.739,-1.745,30.862
0.142,-0.374,0.931,-3.760,1.908,-1.648,30.865
0.142,-0.372,0.926,-3.645,2.053,-1.469,30.868
0.142,-0.372,0.921,-3.424,2.158,-1.281,30.870
0.142,-0.372,0.917,-2.958,2.061,-1.178,30.881
0.143,-0.371,0.914,-2.283,1.603,-1.120,30.881
0.145,-0.371,0.910,-1.583,1.095,-0.882,30.882
0.148,-0.371,0.908,-0.866,0.921,-0.383,30.876
0.151,-0.372,0.908,-0.207,1.275,0.278,30.884
0.151,-0.373,0.908,0.341,1.822,0.907,30.893
0.149,-0.376,0.910,0.790,2.271,1.359,30.891
0.149,-0.378,0.913,1.364,2.467,1.493,30.891
0.150,-0.379,0.917,1.946,2.404,1.589,30.898
0.153,-0.379,0.922,2.387,2.410,1.917,30.912
0.155,-0.380,0.927,2.710,2.685,2.339,30.907
0.155,-0.382,0.933,2.903,2.945,2.796,30.901
0.153,-0.385,0.939,3.051,2.945,3.169,30.890
0.149,-0.387,0.944,3.120,2.724,3.392,30.881
0.144,-0.390,0.948,3.035,2.410,3.456,30.893
0.139,-0.393,0.950,2.723,2.109,3.360,30.898
0.135,-0.394,0.951,2.214,2.074,3.222,30.910
0.131,-0.396,0.952,1.603,2.174,3.023,30.911
0.127,-0.396,0.951,0.836,1.940,2.485,30.916
