picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 115200
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
sensorTask started...
ICM-42670P initialized successfully!
accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,tmp
-0.184,0.095,0.821,-186.341,50.750,-75.484,28.222
-0.250,0.035,0.997,-189.950,38.170,-78.136,28.223
-0.281,-0.052,1.154,-171.073,34.207,-72.396,28.224
-0.295,-0.080,1.228,-143.301,50.220,-62.755,28.226
-0.248,-0.099,1.217,-113.109,62.879,-56.723,28.226
-0.201,-0.075,1.142,-86.153,63.865,-59.542,28.225
-0.163,-0.057,1.073,-66.164,54.311,-69.095,28.213
-0.153,-0.061,1.059,-52.310,33.711,-81.909,28.230
-0.173,-0.076,1.100,-38.351,14.130,-95.379,28.233
-0.219,-0.117,1.117,-24.359,6.281,-106.343,28.232
-0.285,-0.164,1.100,-12.967,5.279,-113.780,28.234
-0.350,-0.205,1.053,-5.138,5.910,-117.957,28.238
-0.451,-0.247,0.935,-4.395,-3.510,-112.441,28.241
-0.532,-0.229,0.812,-14.087,-41.572,-89.423,28.232
-0.465,-0.244,0.836,-28.282,-53.328,-70.368,28.225
-0.391,-0.262,0.973,-35.445,-40.225,-59.898,28.227
-0.386,-0.271,1.066,-28.313,-15.222,-50.180,28.227
-0.383,-0.278,1.036,-16.620,9.847,-38.948,28.221
-0.372,-0.273,0.927,-12.293,20.649,-30.360,28.222
-0.344,-0.270,0.837,-15.972,17.803,-28.816,28.223
-0.315,-0.275,0.823,-22.212,7.532,-34.215,28.211
-0.349,-0.299,0.882,-23.185,0.397,-40.066,28.218
-0.387,-0.335,0.910,-18.962,6.042,-38.484,28.224
-0.420,-0.356,0.858,-18.611,17.394,-32.134,28.225
-0.447,-0.353,0.777,-26.737,19.004,-21.440,28.219
-0.437,-0.351,0.743,-40.839,14.325,-8.336,28.219
-0.408,-0.354,0.754,-55.766,14.484,3.698,28.219
-0.293,-0.346,0.871,-63.947,9.291,7.854,28.219
-0.146,-0.345,1.077,-52.563,-14.269,-7.373,28.219
-0.150,-0.338,1.135,-29.342,-28.835,-29.060,28.217
-0.210,-0.344,1.060,-11.801,-31.142,-42.704,28.231
-0.257,-0.344,0.986,-4.167,-36.707,-49.245,28.234
-0.262,-0.348,0.967,-0.118,-50.290,-54.258,28.232
-0.252,-0.346,0.968,5.656,-66.515,-60.511,28.229
-0.249,-0.324,0.953,14.334,-78.711,-67.425,28.220
-0.248,-0.316,0.919,21.575,-87.434,-71.210,28.226
-0.257,-0.316,0.888,22.803,-95.121,-71.667,28.226
-0.244,-0.311,0.884,22.797,-106.829,-72.048,28.228
-0.237,-0.320,0.887,26.823,-123.282,-75.933,28.216
-0.280,-0.351,0.856,42.125,-154.992,-84.702,28.213
-0.264,-0.387,0.870,76.471,-178.775,-100.866,28.210
-0.028,-0.335,0.932,99.178,-196.612,-126.802,28.214
0.169,-0.243,0.973,100.399,-209.989,-154.724,28.225
0.232,-0.213,0.935,94.982,-208.183,-176.589,28.222
0.196,-0.213,0.918,84.363,-200.515,-175.503,28.227
0.140,-0.183,0.924,72.730,-189.268,-163.600,28.246
0.142,-0.140,0.921,62.929,-171.974,-143.196,28.245
0.132,-0.101,0.888,47.094,-145.217,-113.260,28.237
0.145,-0.086,0.883,27.507,-107.520,-76.346,28.238
0.154,-0.076,0.902,8.119,-69.941,-35.492,28.247
0.207,-0.054,0.909,-9.819,-44.517,-5.596,28.234
0.237,0.048,0.927,-12.097,-15.327,-5.716,28.238
0.320,-0.020,0.944,-19.157,-4.247,5.396,28.257
0.297,-0.055,0.897,-16.173,-12.517,-5.163,28.255
0.355,-0.058,0.867,-16.637,-29.945,-13.891,28.256
0.422,-0.052,0.858,-18.100,-28.959,-15.605,28.250
0.457,-0.058,0.874,-17.800,-17.513,-14.555,28.260
0.477,-0.061,0.916,-18.934,-3.738,-13.382,28.265
0.481,-0.058,0.963,-22.708,9.964,-11.907,28.265
0.459,-0.074,1.006,-26.317,21.313,-12.297,28.273
0.429,-0.103,1.046,-29.066,27.324,-17.470,28.279
0.402,-0.102,1.083,-32.521,26.707,-23.969,28.276
0.386,-0.106,1.095,-34.998,25.427,-28.290,28.291
0.375,-0.137,1.098,-37.069,25.349,-33.706,28.275
0.342,-0.166,1.091,-37.050,26.225,-40.634,28.257
0.289,-0.194,1.052,-37.062,22.135,-47.705,28.257
0.270,-0.205,1.037,-39.903,18.502,-49.607,28.265
0.283,-0.225,1.039,-45.867,25.957,-46.965,28.271
0.302,-0.226,1.045,-52.175,36.792,-49.559,28.266
0.305,-0.217,1.035,-55.860,41.540,-57.937,28.283
0.321,-0.205,1.022,-57.048,41.697,-65.258,28.291
0.338,-0.205,1.004,-55.946,41.468,-68.291,28.288
0.338,-0.212,0.986,-53.074,42.021,-67.901,28.290
0.322,-0.224,0.986,-49.031,45.542,-67.720,28.290
0.309,-0.239,1.001,-44.785,52.233,-72.133,28.307
0.294,-0.251,1.031,-40.390,55.667,-80.150,28.305
0.285,-0.260,1.061,-35.827,51.498,-86.696,28.297
0.286,-0.264,1.072,-31.252,42.120,-88.709,28.301
0.295,-0.258,1.061,-27.221,32.346,-86.448,28.308
0.301,-0.251,1.043,-24.134,26.542,-81.374,28.297
0.298,-0.246,1.022,-22.203,27.376,-74.187,28.295
0.282,-0.253,0.994,-22.370,32.986,-65.621,28.313
0.244,-0.260,0.936,-27.560,40.518,-55.720,28.305
0.217,-0.266,0.879,-36.823,48.247,-46.271,28.303
0.208,-0.275,0.855,-45.480,55.758,-38.985,28.300
0.205,-0.281,0.844,-49.953,60.799,-34.064,28.307
0.207,-0.288,0.836,-51.167,62.233,-32.269,28.316
0.191,-0.294,0.838,-49.849,61.831,-31.675,28.317
0.176,-0.300,0.838,-47.585,62.713,-29.260,28.318
0.176,-0.310,0.849,-45.979,64.688,-27.831,28.318
0.175,-0.322,0.864,-44.060,63.527,-28.537,28.319
0.174,-0.328,0.876,-41.175,59.729,-30.403,28.325
0.176,-0.338,0.883,-36.557,53.732,-32.749,28.334
0.163,-0.349,0.891,-29.074,44.540,-35.684,28.326
0.136,-0.352,0.878,-21.210,37.603,-38.102,28.331
0.112,-0.328,0.882,-12.240,28.683,-39.653,28.336
0.148,-0.332,0.914,-2.252,23.787,-38.763,28.348
0.165,-0.329,0.950,7.628,23.256,-35.832,28.355
0.152,-0.321,0.994,16.114,18.958,-32.481,28.365
0.112,-0.313,0.999,23.177,20.879,-35.089,28.362
0.071,-0.289,0.980,26.024,18.705,-44.138,28.361
0.070,-0.264,0.974,25.877,16.517,-50.893,28.353
0.082,-0.257,0.978,25.117,15.560,-53.193,28.359
0.114,-0.250,0.983,22.590,16.696,-51.918,28.357
0.144,-0.239,0.999,18.828,20.538,-48.240,28.357
0.154,-0.222,1.019,14.472,23.014,-42.909,28.366
0.171,-0.207,1.032,8.392,23.169,-34.063,28.370
0.178,-0.209,1.029,1.477,22.300,-23.330,28.373
0.175,-0.223,1.018,-2.942,18.710,-13.444,28.381
0.169,-0.235,1.014,-3.428,13.032,-5.942,28.390
0.158,-0.238,1.026,-2.139,7.419,-0.334,28.407
0.136,-0.240,1.035,-2.295,3.641,4.078,28.393
0.104,-0.246,1.038,-4.305,2.177,5.909,28.369
0.074,-0.255,1.036,-6.725,1.266,4.745,28.379
0.056,-0.259,1.034,-9.410,1.740,2.253,28.384
0.053,-0.256,1.033,-13.142,3.458,-0.234,28.385
0.058,-0.256,1.034,-16.028,4.177,-1.488,28.373
0.066,-0.262,1.034,-17.132,3.484,-1.551,28.379
0.082,-0.266,1.029,-17.383,2.819,-0.236,28.384
0.093,-0.270,1.028,-17.568,1.889,2.201,28.388
0.097,-0.275,1.017,-17.771,0.444,5.116,28.400
0.096,-0.279,1.003,-17.832,-1.572,8.032,28.394
0.089,-0.284,0.987,-17.187,-3.694,10.303,28.393
0.075,-0.289,0.964,-16.291,-4.629,12.376,28.404
0.056,-0.298,0.950,-16.104,-3.380,14.083,28.393
0.048,-0.304,0.944,-16.971,-0.345,14.769,28.402
0.059,-0.307,0.947,-20.209,7.242,16.153,28.407
0.060,-0.318,0.961,-23.390,15.641,18.695,28.413
0.073,-0.330,0.967,-25.374,20.590,21.414,28.411
0.078,-0.342,0.972,-25.500,26.049,25.064,28.412
0.073,-0.351,0.970,-25.507,32.434,30.104,28.405
0.061,-0.351,0.965,-26.794,35.566,35.330,28.419
0.050,-0.353,0.970,-27.569,35.667,39.547,28.418
0.018,-0.358,0.975,-27.169,32.754,41.202,28.419
-0.015,-0.364,0.983,-25.178,26.188,39.764,28.429
-0.040,-0.373,0.991,-22.105,15.599,35.224,28.435
-0.039,-0.378,1.003,-19.170,5.478,29.681,28.436
-0.022,-0.376,1.009,-17.202,0.372,25.887,28.442
-0.005,-0.375,1.012,-16.612,1.019,24.072,28.457
0.000,-0.375,1.012,-17.386,4.524,22.916,28.463
-0.004,-0.379,1.003,-18.024,6.317,21.126,28.469
-0.008,-0.384,0.990,-17.007,2.978,18.158,28.459
0.011,-0.383,0.974,-15.373,-3.003,14.969,28.465
0.036,-0.375,0.955,-14.221,-5.886,13.254,28.464
0.058,-0.369,0.941,-13.295,-5.548,13.120,28.458
0.069,-0.368,0.933,-12.098,-4.226,13.611,28.456
0.069,-0.369,0.933,-11.039,-3.379,13.533,28.465
0.065,-0.372,0.939,-9.894,-1.931,12.401,28.460
0.053,-0.375,0.948,-8.306,-2.437,9.828,28.472
0.069,-0.364,0.958,-7.741,-4.610,5.283,28.475
0.086,-0.353,0.968,-7.332,-4.156,2.061,28.466
0.091,-0.344,0.968,-6.835,-1.751,0.500,28.472
